=== DIARIZATION TURN BOUNDARY AGREEMENT ANALYSIS (+-15 FRAMES) ===

------------------------------------------------------------
REEL C1: Boundaries detected: [(662, 'spk_a', 'spk_b')]
------------------------------------------------------------

--- Turn Boundary at Frame 662 (spk_a -> spk_b) [Window 647..677] ---
frame	vad_speech	fused_label	diar_label	match
 647	False	silence    	spk_a  	(ignored: vad=False, diar=spk_a)
 648	False	silence    	spk_a  	(ignored: vad=False, diar=spk_a)
 649	False	silence    	spk_a  	(ignored: vad=False, diar=spk_a)
 650	False	silence    	spk_a  	(ignored: vad=False, diar=spk_a)
 651	True 	silence    	spk_a  	False
 652	True 	spk_a      	spk_a  	True 
 653	True 	spk_a      	spk_a  	True 
 654	True 	spk_a      	spk_a  	True 
 655	True 	spk_a      	none   	(ignored: vad=True, diar=none)
 656	True 	spk_a      	none   	(ignored: vad=True, diar=none)
 657	True 	spk_a      	none   	(ignored: vad=True, diar=none)
 658	True 	spk_a      	none   	(ignored: vad=True, diar=none)
 659	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 660	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 661	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 662	True 	spk_b      	spk_b  	True 
 663	True 	spk_b      	spk_b  	True 
 664	True 	spk_b      	spk_b  	True 
 665	True 	spk_b      	spk_b  	True 
 666	True 	spk_b      	spk_b  	True 
 667	True 	spk_b      	spk_b  	True 
 668	True 	spk_b      	spk_b  	True 
 669	True 	spk_b      	spk_b  	True 
 670	True 	spk_b      	spk_b  	True 
 671	True 	spk_b      	spk_b  	True 
 672	True 	spk_b      	spk_b  	True 
 673	True 	spk_b      	spk_b  	True 
 674	True 	spk_b      	spk_b  	True 
 675	True 	spk_b      	spk_b  	True 
 676	True 	spk_b      	spk_b  	True 
 677	True 	spk_b      	spk_b  	True 

>>> C1 Turn Boundary Summary: 19/20 = 0.9500 (95.0%)

------------------------------------------------------------
REEL C2: Boundaries detected: [(191, 'spk_a', 'spk_b'), (739, 'spk_b', 'spk_a'), (758, 'spk_a', 'spk_b')]
------------------------------------------------------------

--- Turn Boundary at Frame 191 (spk_a -> spk_b) [Window 176..206] ---
frame	vad_speech	fused_label	diar_label	match
 176	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 177	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 178	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 179	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 180	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 181	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 182	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 183	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 184	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 185	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 186	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 187	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 188	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 189	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 190	True 	spk_b      	none   	(ignored: vad=True, diar=none)
 191	True 	spk_b      	spk_b  	True 
 192	True 	spk_b      	spk_b  	True 
 193	True 	spk_b      	spk_b  	True 
 194	True 	spk_b      	spk_b  	True 
 195	True 	spk_b      	spk_b  	True 
 196	True 	spk_b      	spk_b  	True 
 197	True 	spk_b      	spk_b  	True 
 198	True 	spk_b      	spk_b  	True 
 199	True 	spk_b      	spk_b  	True 
 200	True 	spk_b      	spk_b  	True 
 201	True 	spk_b      	spk_b  	True 
 202	True 	spk_b      	spk_b  	True 
 203	True 	spk_b      	spk_b  	True 
 204	True 	spk_b      	spk_b  	True 
 205	True 	spk_b      	spk_b  	True 
 206	True 	spk_b      	spk_b  	True 

--- Turn Boundary at Frame 739 (spk_b -> spk_a) [Window 724..754] ---
frame	vad_speech	fused_label	diar_label	match
