# Speaker sequence BEFORE vs AFTER window-9 modal filter for c1
# Total switch count (full clip frames 0-1200): BEFORE=34 -> AFTER=26
# Slice switch count (frames 650-760): BEFORE=8 -> AFTER=4
#
# frame	raw_label	smoothed_label
 650	None     	None     
 651	spk_a    	None     
 652	spk_a    	spk_a    
 653	spk_a    	spk_a    
 654	spk_a    	spk_a    
 655	spk_b    	spk_a    
 656	spk_b    	spk_a    
 657	spk_b    	spk_a    
 658	spk_a    	spk_a    
 659	spk_a    	spk_b    
 660	spk_a    	spk_b    
 661	spk_a    	spk_b    
 662	spk_b    	spk_b    
 663	spk_b    	spk_b    
 664	spk_b    	spk_b    
 665	spk_b    	spk_b    
 666	spk_b    	spk_b    
 667	spk_b    	spk_b    
 668	spk_b    	spk_b    
 669	spk_b    	spk_b    
 670	spk_b    	spk_b    
 671	spk_b    	spk_b    
 672	spk_b    	spk_b    
 673	spk_b    	spk_b    
 674	spk_b    	spk_b    
 675	spk_b    	spk_b    
 676	spk_b    	spk_b    
 677	spk_b    	spk_b    
 678	spk_b    	spk_b    
 679	spk_b    	spk_b    
 680	spk_b    	spk_b    
 681	spk_b    	spk_b    
 682	spk_b    	spk_b    
 683	spk_b    	spk_b    
 684	spk_b    	spk_b    
 685	spk_b    	spk_b    
 686	spk_b    	spk_b    
 687	None     	spk_b    
 688	None     	spk_b    
 689	None     	spk_b    
 690	spk_b    	spk_b    
 691	spk_b    	spk_b    
 692	spk_b    	spk_b    
 693	spk_b    	spk_b    
 694	spk_b    	spk_b    
 695	spk_b    	spk_b    
 696	spk_b    	spk_b    
 697	spk_b    	spk_b    
 698	spk_b    	spk_b    
 699	spk_b    	spk_b    
 700	spk_b    	spk_b    
 701	spk_b    	spk_b    
 702	spk_b    	spk_b    
 703	spk_b    	spk_b    
 704	spk_b    	spk_b    
 705	spk_b    	spk_b    
 706	spk_b    	spk_b    
 707	spk_b    	spk_b    
 708	spk_b    	spk_b    
 709	spk_b    	spk_b    
 710	spk_b    	spk_b    
 711	spk_b    	spk_b    
 712	spk_b    	spk_b    
 713	spk_b    	spk_b    
 714	spk_b    	spk_b    
 715	spk_b    	spk_b    
 716	spk_b    	spk_b    
 717	spk_b    	spk_b    
 718	spk_b    	spk_b    
 719	spk_b    	spk_b    
 720	spk_b    	spk_b    
 721	spk_b    	spk_b    
 722	spk_b    	spk_b    
 723	spk_b    	spk_b    
 724	spk_b    	spk_b    
 725	spk_b    	spk_b    
 726	None     	None     
 727	None     	None     
 728	None     	None     
 729	None     	None     
 730	None     	None     
 731	None     	None     
 732	None     	None     
 733	None     	None     
 734	None     	None     
 735	spk_b    	spk_b    
 736	spk_b    	spk_b    
 737	spk_b    	spk_b    
 738	spk_b    	spk_b    
 739	spk_b    	spk_b    
 740	spk_b    	spk_b    
 741	spk_b    	spk_b    
 742	spk_b    	spk_b    
 743	spk_b    	spk_b    
 744	spk_b    	spk_b    
 745	spk_b    	spk_b    
 746	spk_b    	spk_b    
 747	spk_b    	spk_b    
 748	spk_b    	spk_b    
 749	spk_b    	spk_b    
 750	spk_b    	spk_b    
 751	spk_b    	spk_b    
 752	spk_b    	spk_b    
 753	spk_b    	spk_b    
 754	spk_b    	spk_b    
 755	spk_b    	spk_b    
 756	spk_b    	spk_b    
 757	spk_b    	spk_b    
 758	spk_b    	spk_b    
 759	spk_b    	spk_b    
 760	spk_b    	spk_b    
